pair	IBD1_len	IBD2_len	R1	R2	Num_Segs	Total_len	target1	target2	real_kinship	kinship	kinship_considered_hs
[1-1_vs_1-2]	3101.350852	0	1.0	0.0	24	3101.350852	unrelated	unrelated		UN	UN
[1-1_vs_10-1]	1004.978124	0	1.0	0.0	225	1004.978124	unrelated	unrelated	C-2(U-N)	3	3
[1-1_vs_10-2]	1001.395314	0	1.0	0.0	226	1001.395314	unrelated	unrelated		UN	UN
[1-1_vs_11-2]	1059.740937	0	1.0	0.0	219	1059.740937	unrelated	unrelated		UN	UN
[1-1_vs_12-1]	375.802658	0	1.0	0.0	113	375.802658	25.0	U-N	C-2(U-N)	3	3
[1-1_vs_12-2]	368.887814	0	1.0	0.0	111	368.887814	unrelated	unrelated		UN	UN
[1-1_vs_13-1]	400.081608	0	1.0	0.0	112	400.081608	25.0	U-N	C-2(U-N)	3	3
[1-1_vs_13-2]	386.317243	0	1.0	0.0	116	386.317243	unrelated	unrelated		UN	UN
[1-1_vs_14-1]	436.7426	0	1.0	0.0	106	436.7426	25.0	U-N	C-2(U-N)	3	3
[1-1_vs_14-2]	456.707506	0	1.0	0.0	116	456.707506	unrelated	unrelated		UN	UN
[1-1_vs_15-1]	1889.674099	0	1.0	0.0	410	1889.674099	50.0	P-C	L-1(P-C)	1	1
[1-1_vs_15-2]	1900.16522	0	1.0	0.0	408	1900.16522	unrelated	unrelated		UN	UN
[1-1_vs_16-1]	948.27417	0	1.0	0.0	233	948.27417	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_16-2]	977.962173	0	1.0	0.0	236	977.962173	unrelated	unrelated		UN	UN
[1-1_vs_17-1]	967.353533	0	1.0	0.0	234	967.353533	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_17-2]	970.174783	0	1.0	0.0	233	970.174783	unrelated	unrelated		UN	UN
[1-1_vs_18-1]	1014.133141	0	1.0	0.0	258	1014.133141	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_18-2]	1028.403574	0	1.0	0.0	260	1028.403574	unrelated	unrelated		UN	UN
[1-1_vs_19-1]	991.918464	0	1.0	0.0	237	991.918464	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_19-2]	971.679231	0	1.0	0.0	225	971.679231	unrelated	unrelated		UN	UN
[1-1_vs_2-1]	900.425116	0	1.0	0.0	226	900.425116	50.0	FS	C-1(FS)	2	2
[1-1_vs_2-2]	903.86638	0	1.0	0.0	224	903.86638	unrelated	unrelated		UN	UN
[1-1_vs_20-1]	1196.345018	0	1.0	0.0	254	1196.345018	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_20-2]	1207.082965	0	1.0	0.0	248	1207.082965	unrelated	unrelated		UN	UN
[1-1_vs_21-1]	1046.534866	0	1.0	0.0	240	1046.534866	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_21-2]	1063.868499	0	1.0	0.0	246	1063.868499	unrelated	unrelated		UN	UN
[1-1_vs_22-1]	1099.773923	0	1.0	0.0	238	1099.773923	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_22-2]	1112.767696	0	1.0	0.0	243	1112.767696	unrelated	unrelated		UN	UN
[1-1_vs_22-593-1-saliva]	1.159042	0	1.0	0.0	1	1.159042	unrelated	unrelated		UN	UN
[1-1_vs_22-593-2-saliva]	1.341522	0	1.0	0.0	1	1.341522	unrelated	unrelated		UN	UN
[1-1_vs_22-650-1-blood]	49.790991	0	1.0	0.0	24	49.790991	unrelated	unrelated		UN	UN
[1-1_vs_22-650-2-blood]	52.241889	0	1.0	0.0	19	52.241889	unrelated	unrelated		UN	UN
[1-1_vs_23-1]	1122.085991	0	1.0	0.0	259	1122.085991	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_23-2]	1143.529756	0	1.0	0.0	254	1143.529756	unrelated	unrelated		UN	UN
