pair	IBD1_len	IBD2_len	R1	R2	Num_Segs	Total_len	target1	target2	real_kinship	kinship	kinship_considered_hs
[1-1_vs_1-2]	3101.350852	0	1.0	0.0	24	3101.350852	unrelated	unrelated		UN	UN
[1-1_vs_10-1]	510.321138	0	1.0	0.0	44	510.321138	unrelated	unrelated	C-2(U-N)	3	3
[1-1_vs_10-2]	494.245452	0	1.0	0.0	44	494.245452	unrelated	unrelated		UN	UN
[1-1_vs_11-2]	611.829147	0	1.0	0.0	55	611.829147	unrelated	unrelated		UN	UN
[1-1_vs_12-1]	119.240062	0	1.0	0.0	14	119.240062	25.0	U-N	C-2(U-N)	3	3
[1-1_vs_12-2]	107.125602	0	1.0	0.0	12	107.125602	unrelated	unrelated		UN	UN
[1-1_vs_13-1]	152.02293600000002	0	1.0	0.0	17	152.02293600000002	25.0	U-N	C-2(U-N)	3	3
[1-1_vs_13-2]	131.755756	0	1.0	0.0	15	131.755756	unrelated	unrelated		UN	UN
[1-1_vs_14-1]	188.080929	0	1.0	0.0	17	188.080929	25.0	U-N	C-2(U-N)	3	3
[1-1_vs_14-2]	183.687128	0	1.0	0.0	18	183.687128	unrelated	unrelated		UN	UN
[1-1_vs_15-1]	949.137202	0	1.0	0.0	88	949.137202	50.0	P-C	L-1(P-C)	1	1
[1-1_vs_15-2]	955.404318	0	1.0	0.0	89	955.404318	unrelated	unrelated		UN	UN
[1-1_vs_16-1]	431.72254	0	1.0	0.0	37	431.72254	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_16-2]	442.809777	0	1.0	0.0	39	442.809777	unrelated	unrelated		UN	UN
[1-1_vs_17-1]	432.620968	0	1.0	0.0	44	432.620968	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_17-2]	441.984226	0	1.0	0.0	44	441.984226	unrelated	unrelated		UN	UN
[1-1_vs_18-1]	385.639567	0	1.0	0.0	37	385.639567	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_18-2]	395.652329	0	1.0	0.0	39	395.652329	unrelated	unrelated		UN	UN
[1-1_vs_19-1]	467.486011	0	1.0	0.0	43	467.486011	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_19-2]	497.823042	0	1.0	0.0	45	497.823042	unrelated	unrelated		UN	UN
[1-1_vs_2-1]	383.933619	0	1.0	0.0	33	383.933619	50.0	FS	C-1(FS)	2	2
[1-1_vs_2-2]	373.694712	0	1.0	0.0	32	373.694712	unrelated	unrelated		UN	UN
[1-1_vs_20-1]	641.809261	0	1.0	0.0	53	641.809261	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_20-2]	666.001932	0	1.0	0.0	52	666.001932	unrelated	unrelated		UN	UN
[1-1_vs_21-1]	513.18127	0	1.0	0.0	50	513.18127	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_21-2]	494.09178	0	1.0	0.0	50	494.09178	unrelated	unrelated		UN	UN
[1-1_vs_22-1]	553.868192	0	1.0	0.0	44	553.868192	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_22-2]	568.365302	0	1.0	0.0	45	568.365302	unrelated	unrelated		UN	UN
[1-1_vs_22-650-2-blood]	17.080065	0	1.0	0.0	1	17.080065	unrelated	unrelated		UN	UN
[1-1_vs_23-1]	575.792948	0	1.0	0.0	49	575.792948	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_23-2]	610.502011	0	1.0	0.0	52	610.502011	unrelated	unrelated		UN	UN
[1-1_vs_24-1]	456.665615	0	1.0	0.0	36	456.665615	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_24-2]	486.693093	0	1.0	0.0	37	486.693093	unrelated	unrelated		UN	UN
[1-1_vs_25-1]	623.776716	0	1.0	0.0	56	623.776716	25.0	GP-GC	L-2(GP-GC)	2	2
[1-1_vs_25-2]	638.311719	0	1.0	0.0	58	638.311719	unrelated	unrelated		UN	UN
[1-1_vs_26-1]	303.993435	0	1.0	0.0	26	303.993435	12.5	GGP-GGC		4	4
[1-1_vs_27-1]	271.272239	0	1.0	0.0	23	271.272239	12.5	GGP-GGC		4	4
[1-1_vs_28-1]	332.842937	0	1.0	0.0	33	332.842937	12.5	GGP-GGC		4	4
[1-1_vs_29-1]	39.685742000000005	0	1.0	0.0	2	39.685742000000005	0.0	UL	UN	UN	UN
[1-1_vs_29-2]	46.520161	0	1.0	0.0	3	46.520161	unrelated	unrelated		UN	UN
[1-1_vs_3-1]	885.112177	0	1.0	0.0	82	885.112177	50.0	P-C	L-1(P-C)	1	1
[1-1_vs_3-2]	779.449348	0	1.0	0.0	71	779.449348	unrelated	unrelated		UN	UN
[1-1_vs_30-1]	12.316304	0	1.0	0.0	2	12.316304	0.0	UL	UN	UN	UN
[1-1_vs_30-2]	37.773793	0	1.0	0.0	3	37.773793	unrelated	unrelated		UN	UN
[1-1_vs_31-1]	40.59849	0	1.0	0.0	5	40.59849	unrelated	unrelated	UN	UN	UN
[1-1_vs_31-2]	40.832651	0	1.0	0.0	5	40.832651	unrelated	unrelated		UN	UN
[1-1_vs_32-2]	23.611571	0	1.0	0.0	2	23.611571	unrelated	unrelated		UN	UN
[1-1_vs_33-1]	38.954737	0	1.0	0.0	4	38.954737	unrelated	unrelated	UN	UN	UN
[1-1_vs_33-2]	56.188165	0	1.0	0.0	4	56.188165	unrelated	unrelated		UN	UN
[1-1_vs_34-1]	13.406152	0	1.0	0.0	2	13.406152	unrelated	unrelated	UN	UN	UN
[1-1_vs_34-2]	45.46133	0	1.0	0.0	6	45.46133	unrelated	unrelated		UN	UN
[1-1_vs_35-2]	46.872742	0	1.0	0.0	4	46.872742	unrelated	unrelated		UN	UN
[1-1_vs_36-2]	20.485836	0	1.0	0.0	3	20.485836	unrelated	unrelated		UN	UN
[1-1_vs_37-1]	12.962258	0	1.0	0.0	2	12.962258	unrelated	unrelated	UN	UN	UN
[1-1_vs_37-2]	43.297186	0	1.0	0.0	5	43.297186	unrelated	unrelated		UN	UN
[1-1_vs_38-1]	45.118147	0	1.0	0.0	4	45.118147	unrelated	unrelated	UN	UN	UN
[1-1_vs_38-2]	61.455874	0	1.0	0.0	5	61.455874	unrelated	unrelated		UN	UN
[1-1_vs_39-2]	14.068614	0	1.0	0.0	2	14.068614	unrelated	unrelated		UN	UN
[1-1_vs_4-1]	778.563296	0	1.0	0.0	74	778.563296	50.0	P-C	L-1(P-C)	1	1
[1-1_vs_4-2]	775.472202	0	1.0	0.0	75	775.472202	unrelated	unrelated		UN	UN
[1-1_vs_40-1]	23.199536	0	1.0	0.0	2	23.199536	unrelated	unrelated		UN	UN
[1-1_vs_41-1]	23.353165	0	1.0	0.0	2	23.353165	unrelated	unrelated	UN	UN	UN
[1-1_vs_41-2]	17.080065	0	1.0	0.0	1	17.080065	unrelated	unrelated		UN	UN
[1-1_vs_43-1]	40.336069	0	1.0	0.0	3	40.336069	unrelated	unrelated	UN	UN	UN
[1-1_vs_43-2]	40.336069	0	1.0	0.0	3	40.336069	unrelated	unrelated		UN	UN
[1-1_vs_44-1]	20.89716	0	1.0	0.0	3	20.89716	unrelated	unrelated	UN	UN	UN
[1-1_vs_44-2]	20.89716	0	1.0	0.0	3	20.89716	unrelated	unrelated		UN	UN
[1-1_vs_45-1]	41.529589	0	1.0	0.0	3	41.529589	unrelated	unrelated		UN	UN
[1-1_vs_46-1]	12.554066	0	1.0	0.0	2	12.554066	unrelated	unrelated	UN	UN	UN
[1-1_vs_46-2]	39.936068	0	1.0	0.0	4	39.936068	unrelated	unrelated		UN	UN
[1-1_vs_47-1]	18.929478	0	1.0	0.0	3	18.929478	unrelated	unrelated	UN	UN	UN
